Full context,1 level,2 level,conn,ton
"Девы, что лучше май-слинг или эрго?",1,8,neutral,neutral
"""http:// www. esky. ru/ catalog/ item/ 1739/ 231089/ Девы, что скажите про этот?? "" July_ ch, это не слинг.",1,8,neutral,neutral
"""да девы, эстетика, да и не только она, еще от партии, цвета и хз от чего зависит. у меня был май из оливы-дерюжка. у Яны мотала сирень или гортензию - класс!!",1,8,neutral,positive
"Неспроста же они дешевле чем камы и переги. "" девы! в итоге. какая коляска самая лучшая???",1,8,neutral,negative
"Девы, такая проблема-ре перестал ходить на горшок!!!!",1,8,neutral,negative
"Девы, интересуют 2 сада-171 и 39.",1,8,neutral,neutral
"Девы, кто нибудь в курсе летом сады работают или у них каникулы?",1,8,neutral,negative
Девы кто что слышал про новый садик на 45стр. дивизии где Инстеп?,1,8,neutral,neutral
"А о женщине? ""Старая дева"". И больно так, и изменить все хочется, и иногда даже не понятно, что это: твой собственный выбор и желание свить гнездо, или все-таки необходимость подтвердить обществу свой статус полноценной женщины.",1,6,negative,negative
"Я и уточнил у девы ада, что из услуг есть.",1,8,positive,positive
"ой девы… а я не представляю, как быть хорошей свекровью.. уже боюсь.",1,8,neutral,negative
"кира,; Dпипец добрая тетенька) терпения вам, девы!!!! кира, вот это пипееец…",1,8,neutral,negative
"Девы, давным давно отписывалась в этой теме, писала, что свекровь у меня далеко не лучшая из лучших.",1,8,neutral,negative
"девы, вы с чего взяли, что я принимаю на свой счет?",1,8,neutral,negative
От старой бабушки до самой юной девы,2,9,positive,neutral
"девы, а правда, что мастика из малютки на лилии непойдет? """,1,8,neutral,negative
"Девы, если можно, хотелось бы услышать комменты (любые, желательно критику) на этот тортик.",1,8,neutral,neutral
"""просто Julia, а почему она не может быть недовольна? девы, вы что? я не видела этот форум как только приехала. а так бы то же самое писала. потом свыклась)",1,8,neutral,negative
"Вам не понравится… "" Девы! не переходите на личности!",1,8,neutral,negative
дева на тестостероне,1,8,negative,negative
девы покидаю чат,1,8,neutral,neutral
"Челы я видела одну радфем деву говорящию что можно быть расисткой и феминисткой одновремено, это вообще как💀💀💀",1,8,negative,negative
рада что радфем популялизируется единственный минус девы на матчасть болт клали,1,8,neutral,positive
если мы об одной деве говорим,1,8,neutral,neutral
я сколько тут сижу эта дева на меня в любой ситуации гонит тебе жить скучно что ли без меня,1,8,negative,negative
ос девы с которой у меня трейд,1,8,neutral,neutral
радфем девы лучшее что со мной случалось,1,8,positive,positive
это не дает тебе право унижать деву доброе утро,1,8,positive,negative
не костяшками дева стучит,1,8,neutral,neutral
"Момоа восхитителен и без бороды, Тимоти Шаламе отлично играет, но… как бЭ личные мои предпочения в мужской красоте, не дают по достоинству им восхититься, как и прекрасная дева Зендея, наводит на мысль, что я совсем отстала от современных трендов красоты.",1,7,positive,negative
"буб (ы) ны, тарелочки гремять краснаи девы и баршини, дамы, дамы все они за нами следять",1,8,negative,negative
"Четыре женщины – богатая домохозяйка, проститутка, старая дева и молодая женщина, которая хочет выйти замуж, пытаются изменить свои судьбы.",2,11,negative,neutral
Рядышком – трепетная субтильная юная дева с таким же узеньким молодым человечком.,2,9,negative,neutral
"""По гороскопу"" ""говорят"""", что 23 сентября рождаются очень крутые девы.",1,8,positive,positive
"И вот Настя – уже не юная дева, а мужняя жена, на которую распространяется Семейный кодекс.",2,9,positive,negative
"Я представляю себе, как Дерьмонавт оторвется, если кто-то из старых невостребованных дев захочет выйти за него замуж) уж он-то покажет им какой он мачо и альфа-хозяин дома)))",2,11,negative,negative
"В рамках изучения гиглов наткнулась на одну деву из Тореза, которая так честно и сказала: ""Я за всю свою жизнь прочитала только одну книгу ― ""Незнайка на Луне"".",1,8,negative,negative
"Ну, Мишель, если с девой из Тореза всё просто: у гиглов, в основном, книг не водится, ни у западных, ни у восточных, ни у бедных, ни у богатых, так что девочка в детстве сгоряча прочитала по складам единственную книжку, которая была у соседей по пятиэтажке, так и с бабой Шурой нет никаких сложностей: в детстве книг он в принципе не читал, а когда повзрослел, начал с наиболее понятного.",1,8,neutral,negative
"А ты так и останешься старой девой со своей жЫрной сракой, тупой башкой и нудным характером.",2,11,negative,negative
"Мишель, а Вы точно ― мужчина? Не переодетая старая дева, нэ? Как и всякий нормальный мужик я имею семью, работу, жилье и консервативные взгляды.",1,6,negative,negative
"А так же сочувствую инвалидам, нравственно неполноценным и старым девам не получившим от жизни того, что обычно получают естественным способом здоровые физически и нравственно, полноценные люди.",2,11,negative,negative
"Слышь, Россия, страна-исполин: там насилуют русскую деву, хоть она и свалила в Берлин!",2,11,neutral,negative
"Тебе ― коньяк, бефстроганов, филе… Опять же музыка играет, всюду девы. Разрешите, как говорится, на тур вальса?",1,7,neutral,positive
", я просто условие малость неправильно написал. Короче, Зайчонок дева умная. А курсы всем при ВГЛТА советую.",1,8,positive,neutral
"Ну подружка моя дева принципиальная, покупать права не захотела, через неделю (сегодня) сдала на другой машине и автодром, и город.",3,12,positive,neutral
Из подводной девы в русалку,1,8,neutral,neutral
"Мои любимые подписчицы, мои девы❤️ Поздравляю вас с наступающим праздником🍾🍾🍾 Хочу сказать, что женщина - это святое!!!",1,7,positive,positive
Бедные девы аж офигели совсем,1,8,neutral,negative
"Девы, если Вы все ещё сомневаетесь начать делать Сахарную Депиляцию, то вот Вам несколько аргументов в пользу ШУГАРИНГА:",1,8,neutral,neutral
"Оживились записные фрики ДСК: писклявый хряк Пирог-Спойлер, старая дева-собачница Алла Серебрякова-Кутылая «В Курсе Воронеж», ну и конечно же, самый уважаемый профессор всех времён и народов Человек-Фекалия Нечаев.",1,6,negative,negative
"""Уже довольно давно я познакомилась с творчеством этой прекрасной девы и солидарна с комментатором, который под этим видео написал: """"Хочу что бы такие как Муся пели из телека в новогоднюю ночь"""".",1,7,positive,positive
"Вчера одна прекрасная дева отметила меня в Сторис в Инстаграм, упомянув о том, что с 2016 года она и её семья пользуются моим рецептов панкейков (небольших по диаметру пухленьких блинов) без яиц.",1,7,positive,positive
"В итогде дева её наш руль в песок уронила, и кнопочки стали западать.",1,8,negative,negative
Но тема не только про дев.. но так же и про мужчин.,1,8,neutral,neutral
"Знала одну деву 39 ей было, детей нет, правда замужем побывала.",2,10,neutral,neutral
"ну мамы иногда это делают) Ну вот представь весь он такой самостоятельный, тут опа.. опа парара ― приближающийся брак с девой.",1,8,neutral,positive
"HILARI, сейчас Галя слово деньги ― ключевое для любой девы молоденькой",2,9,neutral,negative
Чоко - Леди или Чоко - Лада. Тоже хорошо: шоколадная дева. У меня их целых 4 шоколадки!,1,7,neutral,positive
"На секунду нельзя отвернуться, дева на еде повернута наглухо)",1,8,neutral,negative
"зы. кстати, девы, заинтересовала косметика Лаш. где она сейчас продается?",1,8,neutral,neutral
"Кароч ща у меня ни одного прыщика на лице, оно гладенькое, пятна от прыщей прошли, черных точек на носу не стало, хотя у меня их немного было. Вообщем, девы, советую! Только кожу немного сушит, надо после нее сразу кремом.",1,8,neutral,neutral
"Ispanka, поюзала ЧЖ, похоже на кофе молотый с медом (мы с девами в бане таким составом мазюкаемся - эффект круче!).",3,12,neutral,positive
Кто-т из дев посоветовал-я поюзала.,1,8,neutral,neutral
"Девы, милые, нуны тени для внутреннего уголка глаза.",1,7,positive,neutral
") я вобще-то люблю исключительно апельсиновые запахи. сейчас у меня медовый месяц плитка. я натерлась, щас в душ пойду. как думаете, девы, пахнуть буду после душа?",1,8,neutral,neutral
"Или это риторический вопрос? девы, а Revlon где-нибудь сейчас продается? навскидку не помню, последнее время глаз не наблюдал.",1,8,neutral,neutral
Девы на открытии Арт ― шоурума@ artplace89 Который подарит праздничное платье одной из вас!,1,8,neutral,positive
"Рада, что этот день я провела со своими близкими, первую половину дня с семьёй а вторую с любимыми девами🍭🍭🍭 Понимаю что спустя 20 лет, мы такие же👍👍👍 Отдохнули на ура, спасибо моя сестра за идею отмечать в караоке, на видео кстати со мной моя малышка🙏 Подарки нереально крутые, я вас люблю и ценю мои самые самые👍👍👍",3,12,positive,positive
"Милые девы, приглашаю вас на релакс массаж.",1,7,positive,positive
Песня была призвана высмеять христиан которые даже прекрасных любящих дев готовы были прировнять к дьяволицам,1,7,positive,negative
Они воспринимали славянских дев не иначе как настоящих богинь.,1,8,neutral,positive
Испокон веков славянские девы славились своей красотой и дивными формами.,1,8,neutral,positive
"Однако если бы секрет необъяснимой привлекательности славянских дев заключался только в их внешней красоте, то многочисленные рецепты, которые они использовали для ее поддержания, давно были бы в арсенале современных красавиц.",1,8,neutral,positive
"Быть может, эта сила и была тем таинственным девятым элементом, который бог взял из космоса, чтобы сотворить славянскую деву?!",1,8,neutral,neutral
Через несколько часов дева испечет из этого теста каравай и подаст к ужину своему возлюбленному.,1,8,neutral,neutral
"Посмотрев на молодую деву, он вдруг воспылал к ней сильной страстью.",2,9,neutral,positive
Славянские девы воспринимали свое тело не иначе как сакральный инструмент.,1,8,neutral,neutral
"Большую часть времени девы ходили с заплетенными волосами, но если нужно было обратиться к помощи сил матушки-природы, они распускали косы и обнажали свое тело.",1,8,neutral,neutral
"И каждый раз, соединяясь в любовном порыве со своими возлюбленными, славянские девы перенимали часть их силы.",1,8,neutral,positive
дев красивых насиовать и прокинать,1,8,neutral,neutral
Однажды юная дева из «племени Симко» повстречалась с внебрачным потомком колониального британского семейства «Бреверс голд».,2,9,neutral,neutral
Что там по секси ― девам?.. # фотосетотmashaset,1,8,neutral,neutral
"🙏😭 реально думала, что помру старой девой и пора заводить котов..",2,11,negative,negative
